"cost"	"SCP"	"source"
"1"	1422.1362686324	0	"wwtp"
"2"	1422.1362686324	0	"wwtp"
"3"	1422.1362686324	0	"wwtp"
"4"	1422.1362686324	0	"wwtp"
"5"	1422.1362686324	0	"wwtp"
"6"	1422.1362686324	0	"wwtp"
"7"	1422.1362686324	0	"wwtp"
"8"	1422.1362686324	0	"wwtp"
"9"	1422.1362686324	0	"wwtp"
"10"	1422.1362686324	0	"wwtp"
"11"	1422.1362686324	0	"wwtp"
"12"	1422.1362686324	0	"wwtp"
"13"	1422.1362686324	0	"wwtp"
"14"	1422.1362686324	0	"wwtp"
"15"	1422.1362686324	0	"wwtp"
"16"	1645.33047376812	2958.04887424384	"wwtp"
"17"	1679.51006446667	3892.64241800411	"wwtp"
"18"	1875.48348089632	10809.1038270945	"wwtp"
"19"	1985.54880832974	14324.5526081638	"wwtp"
"20"	2025.56372872067	15539.5441249277	"wwtp"
"21"	2108.88300491725	17975.2908938593	"wwtp"
"22"	2131.08500536767	18658.1957142769	"wwtp"
"23"	2146.53837224337	19212.9881021174	"wwtp"
"24"	2201.64249976741	20684.5043671749	"wwtp"
"25"	2223.69414815585	21465.478226047	"wwtp"
"26"	2237.13339052549	21773.0789419927	"wwtp"
"27"	2241.72976406828	21932.9919047911	"wwtp"
"28"	2295.60174668596	23433.1312644716	"wwtp"
"29"	2474.15944239581	27461.5065465201	"wwtp"
"30"	2485.61796628855	27781.702805256	"wwtp"
"31"	2495.00003342289	27927.5986265952	"wwtp"
"32"	2501.36454389284	28095.8266460821	"wwtp"
"33"	2543.27091213773	28820.1740720448	"wwtp"
"34"	2556.4306767251	29033.4575712229	"wwtp"
"35"	2579.70610841649	29385.1686872089	"wwtp"
"36"	2619.09333413716	30219.6473455459	"wwtp"
"37"	2634.70486313662	30424.1014516136	"wwtp"
"38"	2635.46647564258	30464.5834200574	"wwtp"
"39"	2655.19374982503	30834.2520726475	"wwtp"
"40"	2684.61626490439	31349.0003554023	"wwtp"
"41"	2684.61626490439	31358.5516054023	"wwtp"
"42"	2731.38995789211	32177.8708316816	"wwtp"
"43"	2739.74744516433	32304.2048401041	"wwtp"
"44"	2764.94665943177	32542.4342548293	"wwtp"
"45"	2815.60534161905	33223.4056899348	"wwtp"
"46"	2823.03016900293	33322.2826148578	"wwtp"
"47"	2861.63589613013	33879.4178679879	"wwtp"
"48"	2894.42930776553	34283.461741877	"wwtp"
"49"	2894.42930776553	34291.102741877	"wwtp"
"50"	2945.94201538919	34945.7174006881	"wwtp"
"51"	3024.75663503524	35687.7630419775	"wwtp"
"52"	3024.75663503524	35694.5147569275	"wwtp"
"53"	3025.10843918502	35708.0155288453	"wwtp"
"54"	3035.54009764565	35869.1876580325	"wwtp"
"55"	3078.97284037446	36243.6088517473	"wwtp"
"56"	3081.2194113949	36250.0272917473	"wwtp"
"57"	3113.46815509549	36503.1220024634	"wwtp"
"58"	3226.321036235	37539.0360369355	"wwtp"
"59"	3242.36042135369	37680.0833832385	"wwtp"
"60"	3262.36317129137	37824.4397632066	"wwtp"
"61"	3268.17727239444	37879.4543188566	"wwtp"
"62"	3332.05471439462	38318.6065721212	"wwtp"
"63"	3344.29443582793	38432.9820866708	"wwtp"
"64"	3364.42109399983	38530.5078882738	"wwtp"
"65"	3370.72323915741	38591.4763848119	"wwtp"
"66"	3405.08287830269	38816.4214910801	"wwtp"
"67"	3408.56581799427	38855.8944062401	"wwtp"
"68"	3412.06375797647	38875.5888345163	"wwtp"
"69"	3434.81276261921	39007.1053158496	"wwtp"
"70"	3451.56157156744	39088.7658710907	"wwtp"
"71"	3477.71523363174	39254.4804857905	"wwtp"
"72"	3492.26236122809	39366.333462874	"wwtp"
"73"	3504.70986268627	39440.1549465019	"wwtp"
"74"	3548.93663295573	39675.4135899025	"wwtp"
"75"	3548.93663295573	39679.8708399025	"wwtp"
"76"	3551.62240238164	39693.2282866445	"wwtp"
"77"	3578.3048959846	39864.9190074415	"wwtp"
"78"	3583.86907169739	39882.3425244147	"wwtp"
"79"	3591.1986872113	39947.4200638371	"wwtp"
"80"	3591.1986872113	39951.7499638371	"wwtp"
"81"	3595.53878540081	39986.3263185938	"wwtp"
"82"	3615.33603226597	40123.4074628788	"wwtp"
"83"	3619.79573785292	40131.9054456527	"wwtp"
"84"	3631.04302315618	40182.6514582779	"wwtp"
"85"	3669.89318457332	40390.4254193864	"wwtp"
"86"	3682.26151212473	40480.4824321864	"wwtp"
"87"	3689.47347714705	40517.0714546826	"wwtp"
"88"	3689.95628555886	40521.1262786826	"wwtp"
"89"	3714.7703137264	40629.601805529	"wwtp"
"90"	3721.39072808316	40665.4264193603	"wwtp"
"91"	3749.78990299335	40795.3540593704	"wwtp"
"92"	3768.92745583615	40872.9304856937	"wwtp"
"93"	3772.71714345586	40892.1694262351	"wwtp"
"94"	3783.32346392194	40945.7942170406	"wwtp"
"95"	3783.32346392194	40949.6147170406	"wwtp"
"96"	3783.32346392194	40953.4352170406	"wwtp"
"97"	3783.32346392194	40957.2557170405	"wwtp"
"98"	3798.37174325131	41033.2485904504	"wwtp"
"99"	3856.39816206702	41271.3286523755	"wwtp"
"100"	3882.60539715692	41379.9122952295	"wwtp"
"101"	3893.28410802258	41419.31812829	"wwtp"
"102"	3914.37865831591	41511.6343719979	"wwtp"
"103"	3921.10035610943	41543.2986084344	"wwtp"
"104"	3957.92979889326	41692.7219157185	"wwtp"
"105"	3957.92979889326	41696.1603657185	"wwtp"
"106"	4037.14031020646	41991.573585483	"wwtp"
"107"	4093.44670613041	42195.0895998736	"wwtp"
"108"	4093.44670613041	42198.2733498736	"wwtp"
"109"	4122.74054941484	42299.3148356367	"wwtp"
