"cost"	"SCP"	"source"
"1"	1530.75078726492	293.68455890411	"nat_gas_emissions"
"2"	1560.59276467732	964.626215238357	"nat_gas_flaring"
"3"	1576.3300654749	1141.36497688219	"nat_gas_emissions"
"4"	1576.81696495794	1317.29802893699	"nat_gas_emissions"
"5"	1581.57585535989	1657.31714376439	"nat_gas_flaring"
"6"	1605.11597774672	1935.40638225754	"nat_gas_flaring"
"7"	1631.03394779725	2321.09935924384	"nat_gas_emissions"
"8"	1650.32675343172	3161.15438486028	"nat_gas_emissions"
"9"	1682.21919237343	3975.49025526438	"nat_gas_flaring"
"10"	1688.90809762939	4137.77397903973	"nat_gas_flaring"
"11"	1696.65362155545	4292.47476342329	"nat_gas_emissions"
"12"	1697.19339309591	4368.86674150548	"nat_gas_emissions"
"13"	1706.38526115587	4441.70471410822	"nat_gas_emissions"
"14"	1714.69566539529	4583.8783232863	"nat_gas_emissions"
"15"	1718.20958744492	4791.10807746438	"nat_gas_emissions"
"16"	1721.53455713998	4858.66597723425	"nat_gas_flaring"
"17"	1724.50444282283	5059.17850743973	"nat_gas_emissions"
"18"	1737.5132068658	5769.92243590685	"nat_gas_flaring"
"19"	1740.96503062475	6017.20431835206	"nat_gas_emissions"
"20"	1750.01756545203	6380.14451553014	"nat_gas_emissions"
"21"	1753.66336453474	6497.28408671507	"nat_gas_emissions"
"22"	1757.78480224486	6554.96329464932	"nat_gas_flaring"
"23"	1758.36062164256	6612.52187381644	"nat_gas_flaring"
"24"	1759.44075501931	6784.75597503836	"nat_gas_flaring"
"25"	1770.84186477838	7175.35100485617	"nat_gas_flaring"
"26"	1779.40703467956	7390.56945132192	"nat_gas_flaring"
"27"	1782.85100929314	7443.35382392466	"nat_gas_emissions"
"28"	1784.3608764795	7495.86510063699	"nat_gas_emissions"
"29"	1790.14445897378	7702.7494005	"nat_gas_emissions"
"30"	1802.36730027214	8104.34908996575	"nat_gas_flaring"
"31"	1804.1440254444	8153.48456442055	"nat_gas_flaring"
"32"	1809.58704210852	8298.8955389411	"nat_gas_emissions"
"33"	1817.57227292102	8536.03768414521	"nat_gas_flaring"
"34"	1819.54822227965	8582.78245727397	"nat_gas_flaring"
"35"	1823.00396620454	8629.01690110959	"nat_gas_emissions"
"36"	1825.80995734236	8767.15071941781	"nat_gas_emissions"
"37"	1826.05546535224	8812.94204277123	"nat_gas_flaring"
"38"	1826.87658105638	8904.29066177123	"nat_gas_flaring"
"39"	1827.82504293626	8949.82818219863	"nat_gas_flaring"
"40"	1829.09127970702	8995.18549726712	"nat_gas_emissions"
"41"	1832.32369805212	9040.08802786439	"nat_gas_flaring"
"42"	1835.63391218838	9263.31675032329	"nat_gas_flaring"
"43"	1840.78196748671	9395.01540716987	"nat_gas_flaring"
"44"	1841.08769000794	9438.72162207397	"nat_gas_flaring"
"45"	1842.51169009373	9482.23836939452	"nat_gas_flaring"
"46"	1842.56264773367	9525.74836150411	"nat_gas_flaring"
"47"	1845.41981662948	9612.18555853699	"nat_gas_flaring"
