"cost"	"SCP"	"source"
"1"	1546.46805522801	535.12883890411	"landfill_flaring"
"2"	1553.50984726073	758.04510890411	"landfill_flaring"
"3"	1579.47298139723	1488.94318893699	"landfill_flaring"
"4"	1603.06848916367	1797.49553376439	"landfill_flaring"
"5"	1606.19042560404	2072.15198225754	"landfill_flaring"
"6"	1607.70898785872	2207.27882225754	"landfill_flaring"
"7"	1633.19434328468	2433.23527924384	"landfill_flaring"
"8"	1640.94356370906	2539.66167424384	"landfill_flaring"
"9"	1641.61451408791	2645.61687424384	"landfill_flaring"
"10"	1642.89777578502	2750.68062424384	"landfill_flaring"
"11"	1644.51230181709	2854.64067424384	"landfill_flaring"
"12"	1645.99671125893	3061.01134924384	"landfill_flaring"
"13"	1650.91675990236	3260.92334636027	"landfill_flaring"
"14"	1652.52706788449	3359.68327136027	"landfill_flaring"
"15"	1660.26265876401	3453.82770971644	"landfill_emissions"
"16"	1660.79697965377	3547.66683300411	"landfill_emissions"
"17"	1665.63584874382	3638.81547300411	"landfill_flaring"
"18"	1676.84657488372	3724.20789300411	"landfill_flaring"
"19"	1679.07777766375	3808.52774300411	"landfill_flaring"
"20"	1683.12943595078	4057.91966526438	"landfill_flaring"
"21"	1693.05004741968	4215.86499903973	"landfill_flaring"
"22"	1707.80210298116	4514.01970410822	"landfill_flaring"
"23"	1715.5040928698	4653.4581182863	"landfill_flaring"
"24"	1717.23309520953	4722.4478582863	"landfill_flaring"
"25"	1722.92749253174	4925.77093723425	"landfill_flaring"
"26"	1723.84557784414	4992.58016223425	"landfill_flaring"
"27"	1724.85943623446	5125.66369743973	"landfill_flaring"
"28"	1726.58742214173	5191.60269743973	"landfill_flaring"
"29"	1726.84464217722	5257.46104243973	"landfill_flaring"
"30"	1728.39738599852	5322.83602343973	"landfill_flaring"
"31"	1729.78267584485	5387.78480643973	"landfill_flaring"
"32"	1729.79285066242	5452.73047643973	"landfill_flaring"
"33"	1730.5048165473	5517.45894393973	"landfill_flaring"
"34"	1733.68654455108	5581.23157893973	"landfill_flaring"
"35"	1736.17765088281	5644.27237593973	"landfill_flaring"
"36"	1736.33241129046	5707.26817593973	"landfill_flaring"
"37"	1739.47584138222	5832.01589040685	"landfill_flaring"
"38"	1740.52946602452	5893.81177040685	"landfill_flaring"
"39"	1740.80313904677	5955.53075122877	"landfill_emissions"
"40"	1741.43406598135	6078.74663035206	"landfill_flaring"
"41"	1742.60846528851	6139.96236035206	"landfill_flaring"
"42"	1744.05474193981	6200.77990935206	"landfill_flaring"
"43"	1746.13623520669	6261.03202435206	"landfill_flaring"
"44"	1748.12830144838	6320.79709635206	"landfill_flaring"
"45"	1753.52359848933	6438.72933603014	"landfill_flaring"
"46"	1758.87182695257	6669.97370381644	"landfill_flaring"
"47"	1758.88604432323	6727.42256956986	"landfill_emissions"
"48"	1761.78776375229	6841.60501503836	"landfill_flaring"
"49"	1763.80173708424	6898.04370503836	"landfill_flaring"
"50"	1765.66287660694	6954.10745298356	"landfill_emissions"
"51"	1767.48183204263	7009.80865846301	"landfill_emissions"
"52"	1769.11179248429	7065.18822096301	"landfill_flaring"
"53"	1770.43163283334	7120.30954596301	"landfill_flaring"
"54"	1775.18032956479	7229.55923035617	"landfill_flaring"
"55"	1776.92859797403	7283.43747785617	"landfill_flaring"
"56"	1777.7948990835	7337.15342485617	"landfill_flaring"
"57"	1787.09550405899	7547.88757563699	"landfill_flaring"
"58"	1788.72212072444	7599.62280563699	"landfill_flaring"
"59"	1789.26221777535	7651.26323063699	"landfill_flaring"
"60"	1790.27500415259	7754.212809	"landfill_flaring"
"61"	1795.16999022793	7804.834434	"landfill_flaring"
"62"	1795.94470820103	7855.3248885	"landfill_flaring"
"63"	1797.75167180514	7905.5115425	"landfill_flaring"
"64"	1799.83383846634	7955.3518045	"landfill_flaring"
"65"	1800.15059783153	8005.1397115	"landfill_flaring"
"66"	1800.16602159436	8054.9250715	"landfill_flaring"
"67"	1807.0264283176	8202.15773442055	"landfill_flaring"
"68"	1808.31105825074	8250.62714442055	"landfill_flaring"
